#,date,time_entered,window,secs_before_close,strategy_era,side,entry_price,shares,cost_usd,outcome,exit_price,pnl_usd,running_total_usd,entry_bid,entry_ask,entry_spread,false_stop
1,2026-09-06,10:12:51,10:10-10:15,129,ask-trigger (v1),Up,0.9800,5.10,5.00,WON,-,0.1020,0.1020,-,-,-,-
2,2026-09-06,10:17:15,10:15-10:20,165,ask-trigger (v1),Up,0.9200,5.38,4.95,WON,-,0.4304,0.5324,-,-,-,-
3,2026-09-06,10:23:20,10:20-10:25,100,ask-trigger (v1),Up,0.9600,5.21,5.00,WON,-,0.2084,0.7408,-,-,-,-
4,2026-09-06,10:28:26,10:25-10:30,94,ask-trigger (v1),Up,0.9500,5.26,5.00,WON,-,0.2630,1.0038,-,-,-,-
5,2026-09-06,10:36:17,10:35-10:40,223,ask-trigger (v1),Down,0.9200,8.70,8.00,WON,-,0.6960,1.6998,-,-,-,-
6,2026-09-06,10:42:20,10:40-10:45,160,ask-trigger (v1),Down,0.9000,8.89,8.00,WON,-,0.8890,2.5888,-,-,-,-
7,2026-09-06,10:49:38,10:45-10:50,22,ask-trigger (v1),Down,0.9900,8.08,8.00,WON,-,0.0808,2.6696,-,-,-,-
8,2026-09-06,10:53:48,10:50-10:55,72,ask-trigger (v1),Up,0.8700,8.60,7.48,WON,-,1.1180,3.7876,-,-,-,-
9,2026-09-06,10:59:10,10:55-11:00,50,ask-trigger (v1),Up,0.9700,8.25,8.00,WON,-,0.2475,4.0351,-,-,-,-
10,2026-09-06,11:02:22,11:00-11:05,158,ask-trigger (v1),Up,0.9200,8.70,8.00,WON,-,0.6960,4.7311,-,-,-,-
11,2026-09-06,11:09:30,11:05-11:10,30,ask-trigger (v1),Up,0.9700,8.25,8.00,WON,-,0.2475,4.9786,-,-,-,-
12,2026-09-06,11:14:46,11:10-11:15,14,ask-trigger (v1),Up,0.9900,8.08,8.00,WON,-,0.0808,5.0594,-,-,-,-
13,2026-09-06,11:17:55,11:15-11:20,125,ask-trigger (v1),Up,0.9000,8.89,8.00,WON,-,0.8890,5.9484,-,-,-,-
14,2026-09-06,11:25:01,11:20-11:25,-1,ask-trigger (v1),Up,0.9700,8.25,8.00,WON,-,0.2475,6.1959,-,-,-,-
15,2026-09-06,11:29:10,11:25-11:30,50,ask-trigger (v1),Up,0.9400,8.51,8.00,WON,-,0.5106,6.7065,-,-,-,-
16,2026-09-06,11:34:25,11:30-11:35,35,ask-trigger (v1),Up,0.9900,8.08,8.00,WON,-,0.0808,6.7873,-,-,-,-
17,2026-09-06,11:38:18,11:35-11:40,102,ask-trigger (v1),Down,0.9300,8.60,8.00,WON,-,0.6020,7.3893,-,-,-,-
18,2026-09-06,11:41:30,11:40-11:45,210,ask-trigger (v1),Up,0.9000,8.89,8.00,WON,-,0.8890,8.2783,-,-,-,-
19,2026-09-06,11:47:29,11:45-11:50,151,ask-trigger (v1),Down,0.9300,8.60,8.00,WON,-,0.6020,8.8803,-,-,-,-
20,2026-09-06,11:53:51,11:50-11:55,69,ask-trigger (v1),Up,0.9600,8.33,8.00,WON,-,0.3332,9.2135,-,-,-,-
21,2026-09-06,11:58:22,11:55-12:00,98,ask-trigger (v1),Up,0.9500,8.42,8.00,WON,-,0.4210,9.6345,-,-,-,-
22,2026-09-06,12:01:37,12:00-12:05,203,ask-trigger (v1),Down,0.9000,8.89,8.00,WON,-,0.8890,10.5235,-,-,-,-
23,2026-09-06,12:07:48,12:05-12:10,132,ask-trigger (v1),Down,0.9300,8.60,8.00,WON,-,0.6020,11.1255,-,-,-,-
24,2026-09-06,12:12:58,12:10-12:15,122,ask-trigger (v1),Down,0.9000,8.89,8.00,LOST,-,-8.0010,3.1245,-,-,-,-
25,2026-09-06,12:19:07,12:15-12:20,53,ask-trigger (v1),Down,0.9500,8.42,8.00,WON,-,0.4210,3.5455,-,-,-,-
26,2026-09-06,12:22:18,12:20-12:25,162,ask-trigger (v1),Down,0.9000,8.89,8.00,WON,-,0.8890,4.4345,-,-,-,-
